state,statehouse_district_number,full_name,first,middle,surname,suffix,party_code,incumbent_status,withdrew_status,disqualified_status,notes,district_name,county_name,county,count,predicted_gender,gender_prob,party,pred.whi,pred.bla,pred.his,pred.asi,pred.oth,avg_white,avg_black,avg_his,avg_asi,avg_other,predicted_race,race_binary
NV,10,Sean Moore,Sean,NA,Moore,NA,300,0,0,0,Libertarian Party,State House District 10,Clark,003,368739,male,1,0,0.350510879195401,0.32210789480549734,0.05229448024671328,0.03222171603399913,0.2428650297183892,0.350510879195401,0.32210789480549734,0.05229448024671328,0.03222171603399913,0.2428650297183892,White,White
NV,11,Thomas Lambert,Thomas,NA,Lambert,NA,200,0,0,0,NA,State House District 11,Clark,003,1246099,male,1,2,0.6903674633070732,0.09209246071400685,0.035518086498683835,0.021396133179426697,0.16062585630080947,0.6903674633070732,0.09209246071400685,0.035518086498683835,0.021396133179426697,0.16062585630080947,White,White
NV,11,Cinthia Moore,Cinthia,NA,Moore,NA,200,0,0,0,NA,State House District 11,Clark,003,47048,female,1,2,0.04891375452911034,0.04132397999998784,0.7587574586703084,0.008505005231429602,0.14249980156916384,0.04891375452911034,0.04132397999998784,0.7587574586703084,0.008505005231429602,0.14249980156916384,Hispanic,Non-White
NV,11,Jeffrey A. Lustick,Jeffrey,A.,Lustick,NA,100,0,0,0,NA,State House District 11,Clark,003,270873,male,1,1,0.7707739119091223,0.11214868791054246,0.047578403954615996,0.007554542368491013,0.061944453857228285,0.7707739119091223,0.11214868791054246,0.047578403954615996,0.007554542368491013,0.061944453857228285,White,White
NV,11,Anthony Manesa,Anthony,NA,Manesa,NA,100,0,0,0,NA,State House District 11,Clark,003,804081,male,1,1,0.12056689166545849,0.3944434247490808,0.3274742767886811,0.032335507389376,0.12517989940740354,0.12056689166545849,0.3944434247490808,0.3274742767886811,0.032335507389376,0.12517989940740354,Black,Non-White
NV,12,Max Carter II,Max,NA,Carter,II,200,1,0,0,NA,State House District 12,Clark,003,403428,male,0.99,2,0.30982925221197505,0.22750962902910382,0.17917135587662716,0.023917143213097243,0.25957261966919665,0.30982925221197505,0.22750962902910382,0.17917135587662716,0.023917143213097243,0.25957261966919665,White,White
NV,12,Nancy S. Roecker,Nancy,S.,Roecker,NA,100,0,0,0,NA,State House District 12,Clark,003,668231,female,1,1,0.9609929159886926,5.016930696127951e-4,0.012579090446048859,0.009709628930301072,0.016216671565344724,0.9609929159886926,5.016930696127951e-4,0.012579090446048859,0.009709628930301072,0.016216671565344724,White,White
NV,12,Al Rojas,Al,NA,Rojas,NA,100,0,0,0,NA,State House District 12,Clark,003,207276,male,0.94,1,0.0023189426182776926,0.0031118916934627827,0.9748711490514879,0.012816279536218967,0.006881737100552722,0.0023189426182776926,0.0031118916934627827,0.9748711490514879,0.012816279536218967,0.006881737100552722,Hispanic,Non-White
NV,13,Daniel Andrews,Daniel,NA,Andrews,NA,200,0,0,0,NA,State House District 13,Clark,003,2466344,male,0.99,2,0.3690265087736171,0.12049640040508947,0.28272479519050153,0.03675006897442177,0.19100222665637018,0.3690265087736171,0.12049640040508947,0.28272479519050153,0.03675006897442177,0.19100222665637018,White,White
NV,13,Brian Hibbetts,Brian,NA,Hibbetts,NA,100,1,0,0,NA,State House District 13,Clark,003,860237,male,1,1,0.7713077495644983,0,0.05505240418182505,0,0.17363984625367654,0.7713077495644983,0,0.05505240418182505,0,0.17363984625367654,White,White
NV,14,Erica Mosca,Erica,NA,Mosca,NA,200,1,0,0,NA,State House District 14,Clark,003,243089,female,1,2,0.3216994287000224,0.007731379956671668,0.490848853041461,0.04963847791210984,0.1300818603897351,0.3216994287000224,0.007731379956671668,0.490848853041461,0.04963847791210984,0.1300818603897351,Hispanic,Non-White
