state,statehouse_district_number,total_candidates,pct_white,pct_nonwhite,pct_female,pct_male,count_white,count_nonwhite,count_female,count_male
MI,59,3,1,0,0.3333333333333333,0.6666666666666666,3,0,1,2
MI,60,2,1,0,0.5,0.5,2,0,1,1
MI,61,4,1,0,0.25,0.75,4,0,1,3
MI,62,2,0.5,0.5,1,0,1,1,2,0
MI,63,3,1,0,0,1,3,0,0,3
MI,64,9,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.8888888888888888,8,1,1,8
MI,65,2,1,0,0.5,0.5,2,0,1,1
MI,66,4,1,0,0,1,4,0,0,4
MI,67,4,1,0,0.75,0.25,4,0,3,1
MI,68,2,1,0,0,1,2,0,0,2
MI,69,2,0.5,0.5,0,1,1,1,0,2
MI,70,3,1,0,0.3333333333333333,0.6666666666666666,3,0,1,2
MI,71,3,1,0,0,1,3,0,0,3
MI,72,2,1,0,0,1,2,0,0,2
MI,73,2,1,0,0.5,0.5,2,0,1,1
MI,74,2,1,0,0.5,0.5,2,0,1,1
MI,75,2,1,0,0.5,0.5,2,0,1,1
MI,76,3,1,0,0.3333333333333333,0.6666666666666666,3,0,1,2
MI,77,4,1,0,1,0,4,0,4,0
MI,78,3,1,0,0.6666666666666666,0.3333333333333333,3,0,2,1
MI,79,2,1,0,0.5,0.5,2,0,1,1
MI,80,2,1,0,0,1,2,0,0,2
MI,81,2,1,0,0,1,2,0,0,2
MI,82,2,0.5,0.5,0,1,1,1,0,2
MI,83,4,0.5,0.5,0.25,0.75,2,2,1,3
MI,84,4,1,0,0.25,0.75,4,0,1,3
MI,85,2,0.5,0.5,0.5,0.5,1,1,1,1
MI,86,2,1,0,1,0,2,0,2,0
MI,87,3,0.6666666666666666,0.3333333333333333,0,1,2,1,0,3
MI,88,2,1,0,0,1,2,0,0,2
MI,89,2,1,0,0.5,0.5,2,0,1,1
MI,90,2,1,0,0,1,2,0,0,2
MI,91,2,1,0,0,1,2,0,0,2
MI,92,2,1,0,0,1,2,0,0,2
MI,93,2,1,0,0,1,2,0,0,2
MI,94,3,0.6666666666666666,0.3333333333333333,0,1,2,1,0,3
MI,95,2,0.5,0.5,0.5,0.5,1,1,1,1
MI,96,3,1,0,0,1,3,0,0,3
MI,97,2,1,0,0,1,2,0,0,2
MI,98,2,1,0,0.5,0.5,2,0,1,1
MI,99,2,1,0,0,1,2,0,0,2
MI,100,3,1,0,0.3333333333333333,0.6666666666666666,3,0,1,2
MI,101,3,1,0,0,1,3,0,0,3
MI,102,2,1,0,0.5,0.5,2,0,1,1
MI,103,4,1,0,0.75,0.25,4,0,3,1
MI,104,6,1,0,0.16666666666666666,0.8333333333333334,6,0,1,5
MI,105,3,1,0,0,1,3,0,0,3
MI,106,4,0.75,0.25,0.5,0.5,3,1,2,2
MI,107,4,1,0,0.25,0.75,4,0,1,3
MI,108,3,1,0,0.6666666666666666,0.3333333333333333,3,0,2,1
MI,109,7,1,0,0.42857142857142855,0.5714285714285714,7,0,3,4
MI,110,2,1,0,0.5,0.5,2,0,1,1
NV,1,2,0,1,0,1,0,2,0,2
NV,2,2,0.5,0.5,0.5,0.5,1,1,1,1
NV,3,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1,2,2,1
NV,4,2,1,0,0.5,0.5,2,0,1,1
NV,5,4,1,0,0.5,0.5,4,0,2,2
NV,6,5,0.2,0.8,0.2,0.8,1,4,1,4
NV,7,2,1,0,0.5,0.5,2,0,1,1
NV,8,2,0.5,0.5,0.5,0.5,1,1,1,1
NV,9,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1,2,2,1
NV,10,4,0.75,0.25,0.5,0.5,3,1,2,2
NV,11,4,0.5,0.5,0.25,0.75,2,2,1,3
NV,12,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,1,1,2
NV,13,2,1,0,0,1,2,0,0,2
NV,14,1,0,1,1,0,0,1,1,0
NV,15,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,2,1,2
NV,16,6,0.5,0.5,0.5,0.5,3,3,3,3
NV,17,4,0.5,0.5,0.25,0.5,2,2,1,2
NV,18,2,0,1,0.5,0.5,0,2,1,1
NV,19,1,1,0,0,1,1,0,0,1
NV,20,2,0.5,0.5,0,1,1,1,0,2
NV,21,3,1,0,0.6666666666666666,0.3333333333333333,3,0,2,1
NV,22,1,1,0,1,0,1,0,1,0
NV,23,1,1,0,1,0,1,0,1,0
NV,24,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,2,1,2,1
NV,25,2,0.5,0.5,1,0,1,1,2,0
NV,26,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,1,1,2
NV,27,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1,2,2,1
NV,28,1,0,1,0,1,0,1,0,1
NV,29,3,0,1,0.6666666666666666,0.3333333333333333,0,3,2,1
NV,30,2,1,0,0.5,0.5,2,0,1,1
NV,31,2,1,0,0.5,0.5,2,0,1,1
NV,32,4,1,0,0,1,4,0,0,4
NV,33,2,1,0,0,1,2,0,0,2
NV,34,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,2,1,2
NV,35,2,0.5,0.5,1,0,1,1,2,0
NV,36,2,0.5,0.5,0.5,0.5,1,1,1,1
NV,37,2,1,0,0.5,0.5,2,0,1,1
NV,38,1,1,0,0,1,1,0,0,1
NV,39,2,1,0,0,1,2,0,0,2
NV,40,3,1,0,0.3333333333333333,0.6666666666666666,3,0,1,2
NV,41,3,0,1,0.6666666666666666,0.3333333333333333,0,3,2,1
NV,42,4,0.5,0.5,0.5,0.5,2,2,2,2
