state,statehouse_district_number,full_name,first_name,middle_name,last_name,suffix,party_code,notes
GA,33,Alan Powell,Alan,,Powell,,100,
GA,34,Devan Seabaugh,Devan,,Seabaugh,,100,
GA,35,Lisa Campbell,Lisa,,Campbell,,200,
GA,36,Ginny Ehrhart,Ginny,,Ehrhart,,100,
GA,37,Mary Frances Williams,Mary,Frances,Williams,,200,
GA,38,David Wilkerson,David,,Wilkerson,,200,
GA,39,Terry Cummings,Terry,,Cummings,,200,
GA,40,Doug Stoner,Doug,,Stoner,,200,
GA,41,Michael Smith,Michael,,Smith,,200,
GA,42,Teri Anulewicz,Teri,,Anulewicz,,200,
GA,43,Solomon Adesanya,Solomon,,Adesanya,,200,
GA,44,Don Parsons,Don,,Parsons,,100,
GA,45,Sharon Cooper,Sharon,,Cooper,,100,
GA,46,John Carson,John,,Carson,,100,
GA,47,Jan Jones,Jan,,Jones,,100,
GA,48,Scott Hilton,Scott,,Hilton,,100,
GA,49,Chuck Martin,Chuck,,Martin,,100,
GA,50,Michelle Au,Michelle,,Au,,200,
GA,51,Esther Pantich,Esther,,Pantich,,200,
GA,52,Shea Roberts,Shea,,Roberts,,200,
GA,53,Deborah Silcox,Deborah,,Silcox,,100,
GA,54,Betsy Holland,Betsy,,Holland,,200,
GA,55,Inga Willis,Inga,,Willis,,200,
GA,56,Mesha Mainor,Mesha,,Mainor,,100,
GA,57,Stacey Evans,Stacey,,Evans,,200,
GA,58,Park Cannon,Park,,Cannon,,200,
GA,59,Phil Olaleye,Phil,,Olaleye,,200,
GA,60,Shelila Jones,Shelila,,Jones,,200,
GA,61,Roger Bruce,Roger,,Bruce,,200,
GA,62,Tanya F Miller,Tanya,F,Miller,,200,
GA,63,Kim Schofield,Kim,,Schofield,,200,
GA,64,Kimberly New,Kimberly,,New,,100,
GA,65,Mandisha A. Thomas,Mandisha,A.,Thomas,,200,
GA,66,Kimberly Alexander,Kimberly,,Alexander,,200,
GA,67,Lydia Glaize,Lydia,,Glaize,,200,
GA,68,Tish Naghise,Tish,,Naghise,,200,served until 03/07/2023
GA,68,Derrick Jackson,Derrick,,Jackson,,200,
GA,69,Debra Bazemore,Debra,,Bazemore,,200,
GA,70,Lynn Smith,Lynn,,Smith,,100,
GA,71,J Collins,J,,Collins,,100,
GA,72,David Huddleston,David,,Huddleston,,100,
GA,73,Josh Bonner,Josh,,Bonner,,100,
GA,74,Karen Mathiak,Karen,,Mathiak,,100,
GA,75,Mike Glanton,Mike,,Glanton,,200,served until 01/17/2023
GA,75,Eric Bell,Eric,,Bell,,200,
GA,76,Sandra Scott,Sandra,,Scott,,200,
GA,77,Rhonda Burnough,Rhonda,,Burnough,,200,
GA,78,Demetrius Douglas,Demetrius,,Douglas,,200,
GA,79,Yasmin Neal,Yasmin,,Neal,,200,
GA,80,Long Tran,Long,,Tran,,200,
GA,81,Scott Holcomb,Scott,,Holcomb,,200,
GA,82,Mary Margaret Oliver,Mary,Margaret,Oliver,,200,
GA,83,Karen Lupton,Karen,,Lupton,,200,
GA,84,Omari Crawford,Omari,,Crawford,,200,
GA,85,Karla Drenner,Karla,,Drenner,,200,
GA,86,Imani Barnes,Imani,,Barnes,,200,
GA,87,Viola Davis,Viola,,Davis,,200,
GA,88,Billy Mitchell,Billy,,Mitchell,,200,
GA,89,Becky Evans,Becky,,Evans,,200,
GA,90,Saira Draper,Saira,,Draper,,200,
GA,91,Angela Moore,Angela,,Moore,,200,
GA,92,Rhonda Taylor,Rhonda,,Taylor,,200,
GA,93,Doreen Carter,Doreen,,Carter,,200,
GA,94,Karen Bennett,Karen,,Bennett,,200,
GA,95,Dar'shun Kendrick,Dar'shun,,Kendrick,,200,
GA,96,"Pedro ""Pete"" Marin",Pedro,Pete,Marin,,200,
GA,97,Ruwa Romman,Ruwa,,Romman,,200,
GA,98,Marvin Lim,Marvin,,Lim,,200,
GA,99,Matt Reeves,Matt,,Reeves,,100,
GA,100,David Clark,David,,Clark,,100,
GA,101,Gregg Kennard,Gregg,,Kennard,,200,
GA,102,Gabe Okoye,Gabe,,Okoye,,200,
GA,103,Soo Hong,Soo,,Hong,,100,
GA,104,Chuck Efstration,Chuck,,Efstration,,100,
GA,105,Farooq Mughal,Farooq,,Mughal,,200,
GA,106,Shelly Hutchinson,Shelly,,Hutchinson,,200,
GA,107,Sam Park,Sam,,Park,,200,
GA,108,Jasmine Clark,Jasmine,,Clark,,200,
GA,109,Dewey McClain,Dewey,,McClain,,200,
GA,110,Segun Adeyina,Segun,,Adeyina,,200,
GA,111,"Reynaldo ""Rey"" Martinez",Reynaldo,Rey,Martinez,,100,
GA,112,Bruce Williamson,Bruce,,Williamson,,100,
GA,113,Sharon Henderson,Sharon,,Henderson,,200,
GA,114,Tim Fleming,Tim,,Fleming,,100,
GA,115,Regina Lewis-Ward,Regina,,Lewis-Ward,,200,
GA,116,El-Mahdi Holly,El-Mahdi,,Holly,,200,
GA,117,Lauren Daniel,Lauren,,Daniel,,100,
GA,118,Clint Crowe,Clint,,Crowe,,100,
GA,119,Holt Persinger,Holt,,Persinger,,100,
GA,120,Houston Gaines,Houston,,Gaines,,100,
GA,121,Marcus Wiedower,Marcus,,Wiedower,,100,
GA,122,Spencer Frye,Spencer,,Frye,,100,
GA,123,Rob Leverett,Rob,,Leverett,,100,
GA,124,Trey Rhodes,Trey,,Rhodes,,100,
GA,125,Barry Fleming,Barry,,Fleming,,100,served until 01/09/2024
GA,125,Gary Richardson,Gary,,Richardson,,100,
GA,126,Gloria Frazier,Gloria,,Frazier,,200,
GA,127,Mark Newton,Mark,,Newton,,100,
GA,128,Mack Jackson,Mack,,Jackson,,200,
GA,129,Karlton Howard,Karlton,,Howard,,200,
GA,130,Lynn Heffner,Lynn,,Heffner,,200,
GA,131,Jodi Lott,Jodi,,Lott,,100,
GA,132,Brian Prince,Brian,,Prince,,200,
GA,133,Ken Vance,Ken,,Vance,,100,
GA,134,David Knight,David,,Knight,,100,
GA,135,Beth Camp,Beth,,Camp,,100,
GA,136,David Jenkins,David,,Jenkins,,100,
GA,137,Debbie Buckner,Debbie,,Buckner,,200,
GA,138,Vance Smith,Vance,,Smith,,100,
GA,139,Carmen Rice,Carmen,,Rice,,100,
GA,139,Richard Smith,Richard,,Smith,,100,served until 01/29/2024
GA,140,Tremaine Teddy Reese,Tremaine,Teddy,Reese,,200,
GA,141,Carolyn Hugley,Carolyn,,Hugley,,200,
GA,142,Miriam Paris,Miriam,,Paris,,200,
GA,143,James Beverly,James,,Beverly,,200,
GA,144,Dale Washburn,Dale,,Washburn,,100,
GA,145,Robert Dickey,Robert,,Dickey,,100,
GA,146,Shaw Blackmon,Shaw,,Blackmon,,100,
GA,147,Bethany Ballard,Bethany,,Ballard,,100,
GA,148,Noel Williams Jr.,Noel,,Williams,Jr.,100,
GA,149,Danny Mathis,Danny,,Mathis,,100,
GA,150,Patty Marie Stinson,Patty,Marie,Stinson,,200,
GA,151,Mike Cheokas,Mike,,Cheokas,,100,
GA,152,Bill Yearta,Bill,,Yearta,,100,
GA,153,David Sampson,David,,Sampson,,200,
GA,154,Gerald Greene,Gerald,,Greene,,100,
GA,155,Matt Hatchett,Matt,,Hatchett,,100,
GA,156,Leesa Hagan,Leesa,,Hagan,,100,
GA,157,Bill Werkheiser,Bill,,Werkheiser,,100,
GA,158,Butch Parrish,Butch,,Parrish,,100,
GA,159,Jon Burns,Jon,,Burns,,100,
GA,160,Lehman Franklin,Lehman,,Franklin,,100,
GA,161,Bill Hitchens,Bill,,Hitchens,,100,
GA,162,Carl Gilliard,Carl,,Gilliard,,200,
GA,163,Anne Allen Westbrook,Anne,Allen,Westbrook,,200,
GA,164,Ron Stephens,Ron,,Stephens,,100,
GA,165,Edna Jackson,Edna,,Jackson,,200,
GA,166,Jesse Petrea,Jesse,,Petrea,,100,
GA,167,Buddy DeLoach,Buddy,,DeLoach,,100,
GA,168,Al Williams,Al,,Williams,,200,
GA,169,Clay Pirkle,Clay,,Pirkle,,100,
GA,170,Penny Houston,Penny,,Houston,,100,
GA,171,Joe Campbell,Joe,,Campbell,,100,
GA,172,Chas Cannon,Chas,,Cannon,,100,
GA,173,Darlene Taylor,Darlene,,Taylor,,100,
GA,174,John Corbett,John,,Corbett,,100,
GA,175,John LaHood,John,,LaHood,,100,
GA,176,James Burchett,James,,Burchett,,100,
GA,177,Dexter Sharper,Dexter,,Sharper,,200,
GA,178,Steven Meeks,Steven,,Meeks,,100,
GA,179,Rick Townsend,Rick,,Townsend,,100,
GA,180,Steven Sainz,Steven,,Sainz,,100,
