state,statehouse_district_number,full_name,first_name,middle_name,last_name,suffix,party_code,incumbent_status,withdrew_status,disqualified_status,notes,district_name,county_name,county_fips,count,predicted_gender,gender_prob
MI,3,Ziad Abdulmalik,Ziad,NA,Abdulmalik,NA,200,0,0,0,NA,State House District 3,Wayne,163,60781,male,0.96
MI,3,Gus Tarraf,Gus,NA,Tarraf,NA,200,0,0,0,NA,State House District 3,Wayne,163,30108,male,0.99
MI,3,Richard A Zeile,Richard,A,Zeile,NA,100,0,0,0,NA,State House District 3,Wayne,163,1163098,male,1
MI,3,Larry Betts,Larry,NA,Betts,NA,300,0,0,0,Working Class Party,State House District 3,Wayne,163,299788,male,1
MI,4,Karen Whitsett,Karen,NA,Whitsett,NA,200,1,0,0,NA,State House District 4,Wayne,163,967037,female,0.99
MI,4,Gus Tarraf,Gus,NA,Tarraf,NA,200,0,1,0,NA,State House District 4,Wayne,163,30108,male,0.99
MI,4,Tonya Wells,Tonya,NA,Wells,NA,100,0,0,1,NA,State House District 4,Wayne,163,60298,female,1
MI,5,Natalie Price,Natalie,NA,Price,NA,200,1,1,0,NA,State House District 5,Oakland,125,282584,female,1
MI,5,Crystal Bailey,Crystal,NA,Bailey,NA,200,0,0,0,NA,State House District 5,Oakland,125,179678,female,0.99
MI,5,Myya Jones,Myya,NA,Jones,NA,200,0,0,1,NA,State House District 5,Oakland,125,108,female,0.95
MI,5,Kevin Keys III,Kevin,NA,Keys,III,200,0,0,0,NA,State House District 5,Oakland,125,1257153,male,1
MI,5,Eric Love,Eric,NA,Love,NA,200,0,0,0,NA,State House District 5,Oakland,125,980705,male,1
MI,5,Regina Weiss,Regina,NA,Weiss,NA,200,1,0,0,NA,State House District 5,Oakland,125,206407,female,0.99
MI,5,Will Sears,Will,NA,Sears,NA,100,0,0,0,NA,State House District 5,Oakland,125,168243,male,0.99
MI,6,Natalie Price,Natalie,NA,Price,NA,200,1,0,0,NA,State House District 6,Oakland,125,282584,female,1
MI,6,Joseph R Fisher,Joseph,R,Fisher,NA,200,0,0,0,NA,State House District 6,Oakland,125,790654,male,0.99
MI,6,Eric Love,Eric,NA,Love,NA,200,0,1,0,NA,State House District 6,Oakland,125,980705,male,1
MI,6,Brent M Lamkin,Brent,M,Lamkin,NA,100,0,0,0,NA,State House District 6,Oakland,125,101316,male,1
