state,statehouse_district_number,full_name,first_name,middle_name,last_name,suffix,party_code,notes,district_name,county_name,county_fips,count,predicted_gender,gender_prob
MI,99,Mike Hoadley,Mike,NA,Hoadley,NA,100,NA,State House District 99,Iosco,069,1145946,male,1
MI,100,Tom Kunse,Tom,NA,Kunse,NA,100,NA,State House District 100,Osceola,133,841896,male,0.99
MI,101,Joseph Fox,Joseph,NA,Fox,NA,100,NA,State House District 101,Newaygo,123,790654,male,0.99
MI,102,Curtis VanderWall,Curtis,NA,VanderWall,NA,100,NA,State House District 102,Oceana,127,78125,male,1
MI,103,Betsy Coffia,Betsy,NA,Coffia,NA,200,NA,State House District 103,Leelanau,089,53430,female,1
MI,104,John Roth,John,NA,Roth,NA,100,NA,State House District 104,Benzie,019,2692560,male,1
MI,105,Ken Borton,Ken,NA,Borton,NA,100,NA,State House District 105,Roscommon,143,337251,male,0.99
MI,106,Cam Cavitt,Cam,NA,Cavitt,NA,100,NA,State House District 106,Presque Isle,141,10225,male,0.63
MI,107,Neil Friske,Neil,NA,Friske,NA,100,NA,State House District 107,Mackinac,097,206722,male,1
MI,108,Dave Prestin,Dave,NA,Prestin,NA,100,NA,State House District 108,Delta,041,515066,male,1
MI,109,Jenn Hill,Jenn,NA,Hill,NA,200,NA,State House District 109,Alger,003,39556,female,0.99
MI,110,Gregory Markkanen,Gregory,NA,Markkanen,NA,100,NA,State House District 110,Keweenaw,083,204650,male,1
GA,1,Mike Cameron,Mike,NA,Cameron,NA,100,NA,State House District 1,Walker,295,1145946,male,1
GA,2,Steve Tarvin,Steve,NA,Tarvin,NA,100,NA,State House District 2,Walker,295,864950,male,1
GA,3,Mitchell Horner,Mitchell,NA,Horner,NA,100,NA,State House District 3,Catoosa,047,70749,male,0.99
GA,4,Kasey Carpenter,Kasey,NA,Carpenter,NA,100,NA,State House District 4,Whitfield,313,4917,female,0.74
GA,5,Matt Barton,Matt,NA,Barton,NA,100,NA,State House District 5,Gordon,129,484010,male,1
GA,6,Jason Ridley,Jason,NA,Ridley,NA,100,NA,State House District 6,Murray,213,786241,male,1
GA,7,Johnny Chastain,Johnny,NA,Chastain,NA,100,NA,State House District 7,Gilmer,123,225733,male,0.99
GA,8,Stan Gunter,Stan,NA,Gunter,NA,100,NA,State House District 8,Union,291,81520,male,0.98
GA,9,Will Wade,Will,NA,Wade,NA,100,NA,State House District 9,Lumpkin,187,168243,male,0.99
GA,10,Victor Anderson,Victor,NA,Anderson,NA,100,NA,State House District 10,Rabun,241,914605,male,1
GA,11,Rick Jasperse,Rick,NA,Jasperse,NA,100,NA,State House District 11,Pickens,227,319578,male,1
GA,12,Eddie Lumsden,Eddie,NA,Lumsden,NA,100,NA,State House District 12,Floyd,115,63313,male,0.98
GA,13,Katie Dempsey,Katie,NA,Dempsey,NA,100,NA,State House District 13,Floyd,115,327142,female,1
GA,14,Mitchell Scoggins,Mitchell,NA,Scoggins,NA,100,NA,State House District 14,Bartow,015,70749,male,0.99
GA,15,Matthew Gambill,Matthew,NA,Gambill,NA,100,NA,State House District 15,Bartow,015,653710,male,1
GA,16,Trey Kelley,Trey,NA,Kelley,NA,100,NA,State House District 16,Polk,233,27337,male,0.99
GA,17,Martin Momtahan,Martin,NA,Momtahan,NA,100,NA,State House District 17,Paulding,223,1077102,male,0.99
GA,18,Tyler Paul Smith,Tyler,Paul,Smith,NA,100,NA,State House District 18,Haralson,143,216488,male,0.99
GA,19,Joseph Gullett,Joseph,NA,Gullett,NA,100,NA,State House District 19,Paulding,223,790654,male,0.99
GA,20,Charlice Byrd,Charlice,NA,Byrd,NA,100,NA,State House District 20,Cherokee,057,96,female,0.97
GA,21,Brad Thomas,Brad,NA,Thomas,NA,100,NA,State House District 21,Cherokee,057,195732,male,1
GA,22,Jordan Ridley,Jordan,NA,Ridley,NA,100,NA,State House District 22,Cherokee,057,148590,male,0.9
GA,23,Mandi Ballinger,Mandi,NA,Ballinger,NA,100,NA,State House District 23,Cherokee,057,15146,female,0.88
GA,24,Carter Barrett,Carter,NA,Barrett,NA,100,NA,State House District 24,Forsyth,117,7104,male,0.93
GA,25,Todd Jones,Todd,NA,Jones,NA,100,NA,State House District 25,Forsyth,117,179593,male,1
GA,26,Lauren McDonald III,Lauren,NA,McDonald,III,100,NA,State House District 26,Forsyth,117,353212,female,0.99
GA,27,Lee Hawkins,Lee,NA,Hawkins,NA,100,NA,State House District 27,Hall,139,175388,male,0.75
GA,28,Brent Cox,Brent,NA,Cox,NA,100,NA,State House District 28,Forsyth,117,101316,male,1
GA,29,Matt Dubnik,Matt,NA,Dubnik,NA,100,NA,State House District 29,Hall,139,484010,male,1
GA,30,Derrick McCollum,Derrick,NA,McCollum,NA,100,NA,State House District 30,Hall,139,74422,male,1
GA,31,Emory Dunahoo,Emory,NA,Dunahoo,NA,100,NA,State House District 31,Jackson,157,606,male,0.83
GA,32,Chris Erwin,Chris,NA,Erwin,NA,100,NA,State House District 32,Banks,011,558338,male,0.91
GA,33,Alan Powell,Alan,NA,Powell,NA,100,NA,State House District 33,Franklin,119,513691,male,1
GA,34,Devan Seabaugh,Devan,NA,Seabaugh,NA,100,NA,State House District 34,Cobb,067,3463,male,0.85
GA,35,Lisa Campbell,Lisa,NA,Campbell,NA,200,NA,State House District 35,Cobb,067,990101,female,1
GA,36,Ginny Ehrhart,Ginny,NA,Ehrhart,NA,100,NA,State House District 36,Cobb,067,27376,female,1
GA,37,Mary Frances Williams,Mary,Frances,Williams,NA,200,NA,State House District 37,Cobb,067,1353810,female,0.99
GA,38,David Wilkerson,David,NA,Wilkerson,NA,200,NA,State House District 38,Cobb,067,3489607,male,1
GA,39,Terry Cummings,Terry,NA,Cummings,NA,200,NA,State House District 39,Cobb,067,89955,male,0.75
GA,40,Doug Stoner,Doug,NA,Stoner,NA,200,NA,State House District 40,Cobb,067,185436,male,1
GA,41,Michael Smith,Michael,NA,Smith,NA,200,NA,State House District 41,Cobb,067,2530843,male,1
GA,42,Teri Anulewicz,Teri,NA,Anulewicz,NA,200,NA,State House District 42,Cobb,067,42885,female,0.99
GA,43,Solomon Adesanya,Solomon,NA,Adesanya,NA,200,NA,State House District 43,Cobb,067,62222,male,0.98
GA,44,Don Parsons,Don,NA,Parsons,NA,100,NA,State House District 44,Cobb,067,307854,male,0.99
GA,45,Sharon Cooper,Sharon,NA,Cooper,NA,100,NA,State House District 45,Cobb,067,489621,female,0.99
GA,46,John Carson,John,NA,Carson,NA,100,NA,State House District 46,Cobb,067,2692560,male,1
GA,47,Jan Jones,Jan,NA,Jones,NA,100,NA,State House District 47,Fulton,121,343839,male,0.89
GA,48,Scott Hilton,Scott,NA,Hilton,NA,100,NA,State House District 48,Fulton,121,603708,male,1
GA,49,Chuck Martin,Chuck,NA,Martin,NA,100,NA,State House District 49,Fulton,121,109325,male,1
GA,50,Michelle Au,Michelle,NA,Au,NA,200,NA,State House District 50,Fulton,121,904069,female,1
GA,51,Esther Pantich,Esther,NA,Pantich,NA,200,NA,State House District 51,Fulton,121,351229,female,0.99
GA,52,Shea Roberts,Shea,NA,Roberts,NA,200,NA,State House District 52,Fulton,121,2926,female,0.53
GA,53,Deborah Silcox,Deborah,NA,Silcox,NA,100,NA,State House District 53,Fulton,121,329984,female,1
GA,54,Betsy Holland,Betsy,NA,Holland,NA,200,NA,State House District 54,Fulton,121,53430,female,1
GA,55,Inga Willis,Inga,NA,Willis,NA,200,NA,State House District 55,Fulton,121,38367,female,0.98
GA,56,Mesha Mainor,Mesha,NA,Mainor,NA,100,NA,State House District 56,Fulton,121,1903,female,0.91
GA,57,Stacey Evans,Stacey,NA,Evans,NA,200,NA,State House District 57,Fulton,121,35043,female,0.96
GA,58,Park Cannon,Park,NA,Cannon,NA,200,NA,State House District 58,Fulton,121,15339,male,0.8
GA,59,Phil Olaleye,Phil,NA,Olaleye,NA,200,NA,State House District 59,Fulton,121,221477,male,0.99
GA,60,Shelila Jones,Shelila,NA,Jones,NA,200,NA,State House District 60,Fulton,121,6,female,0.67
GA,61,Roger Bruce,Roger,NA,Bruce,NA,200,NA,State House District 61,Douglas,097,377833,male,1
GA,62,Tanya F Miller,Tanya,F,Miller,NA,200,NA,State House District 62,Fulton,121,170698,female,1
GA,63,Kim Schofield,Kim,NA,Schofield,NA,200,NA,State House District 63,Fulton,121,196245,female,0.75
GA,64,Kimberly New,Kimberly,NA,New,NA,100,NA,State House District 64,Douglas,097,311636,female,1
GA,65,Mandisha A. Thomas,Mandisha,A.,Thomas,NA,200,NA,State House District 65,Fulton,121,49,female,0.98
GA,66,Kimberly Alexander,Kimberly,NA,Alexander,NA,200,NA,State House District 66,Douglas,097,311636,female,1
GA,67,Lydia Glaize,Lydia,NA,Glaize,NA,200,NA,State House District 67,Fulton,121,162110,female,0.99
GA,68,Tish Naghise,Tish,NA,Naghise,NA,200,served until 03/07/2023,State House District 68,Fayette,113,6348,female,0.98
GA,68,Derrick Jackson,Derrick,NA,Jackson,NA,200,NA,State House District 68,Fayette,113,74422,male,1
GA,69,Debra Bazemore,Debra,NA,Bazemore,NA,200,NA,State House District 69,Fayette,113,156684,female,1
GA,70,Lynn Smith,Lynn,NA,Smith,NA,100,NA,State House District 70,Coweta,077,54997,female,0.94
GA,71,J Collins,J,NA,Collins,NA,100,NA,State House District 71,Carroll,045,52399,male,0.88
GA,72,David Huddleston,David,NA,Huddleston,NA,100,NA,State House District 72,Heard,149,3489607,male,1
GA,73,Josh Bonner,Josh,NA,Bonner,NA,100,NA,State House District 73,Coweta,077,292629,male,1
GA,74,Karen Mathiak,Karen,NA,Mathiak,NA,100,NA,State House District 74,Spalding,255,967037,female,0.99
GA,75,Mike Glanton,Mike,NA,Glanton,NA,200,served until 01/17/2023,State House District 75,Clayton,063,1145946,male,1
GA,75,Eric Bell,Eric,NA,Bell,NA,200,NA,State House District 75,Clayton,063,980705,male,1
GA,76,Sandra Scott,Sandra,NA,Scott,NA,200,NA,State House District 76,Clayton,063,1411970,female,0.99
GA,77,Rhonda Burnough,Rhonda,NA,Burnough,NA,200,NA,State House District 77,Clayton,063,99130,female,1
GA,78,Demetrius Douglas,Demetrius,NA,Douglas,NA,200,NA,State House District 78,Clayton,063,3361,male,0.97
GA,79,Yasmin Neal,Yasmin,NA,Neal,NA,200,NA,State House District 79,Clayton,063,128046,female,0.98
GA,80,Long Tran,Long,NA,Tran,NA,200,NA,State House District 80,DeKalb,089,25966,male,0.96
GA,81,Scott Holcomb,Scott,NA,Holcomb,NA,200,NA,State House District 81,DeKalb,089,603708,male,1
GA,82,Mary Margaret Oliver,Mary,Margaret,Oliver,NA,200,NA,State House District 82,DeKalb,089,1353810,female,0.99
GA,83,Karen Lupton,Karen,NA,Lupton,NA,200,NA,State House District 83,DeKalb,089,967037,female,0.99
GA,84,Omari Crawford,Omari,NA,Crawford,NA,200,NA,State House District 84,DeKalb,089,2669,male,0.89
GA,85,Karla Drenner,Karla,NA,Drenner,NA,200,NA,State House District 85,DeKalb,089,257897,female,0.99
