state,statehouse_district_number,nonwhite_legislator_2022,woman_legislator_2022,nonwhite_candidates_2024,women_candidates_2024,margin_of_victory,percent_nonwhite_voters,percent_women_voters
GA,167,0,0,0,1,41.14,36.39,51.18
GA,168,1,0,1,0,100,58.72,48.76
GA,169,0,0,0,0.6666666666666666,49.5,36.69,48.79
GA,170,0,1,0.5,0.5,100,34.29,51.2
GA,171,1,0,1,0,100,45.33,50.11
GA,172,1,0,NA,NA,100,40.04,49.88
GA,173,1,1,1,1,30.94,42.75,52.51
GA,174,0,0,NA,NA,100,27.29,48.83
GA,175,0,0,0,1,43.9,31.88,50.19
GA,176,0,0,NA,NA,100,33.02,49.99
GA,177,1,0,0,0,24.22,63.47,53.27
GA,178,0,0,NA,NA,100,21.45,49.12
GA,179,0,0,NA,NA,100,36.62,53.52
GA,180,1,0,0.3333333333333333,0,38.7,28.93,48
