state,statehouse_district_number,total_candidates,pct_white,pct_nonwhite,pct_female,pct_male,count_white,count_nonwhite,count_female,count_male
NV,4,2,1,0,0.5,0.5,2,0,1,1
NV,5,3,1,0,0.3333333333333333,0.6666666666666666,3,0,1,2
NV,6,5,0.2,0.8,0.2,0.8,1,4,1,4
NV,7,2,1,0,0.5,0.5,2,0,1,1
NV,8,1,1,0,1,0,1,0,1,0
NV,9,2,0,1,1,0,0,2,2,0
NV,10,4,0.75,0.25,0.5,0.5,3,1,2,2
NV,11,4,0.5,0.5,0.25,0.75,2,2,1,3
NV,12,2,0.5,0.5,0.5,0.5,1,1,1,1
NV,13,1,1,0,0,1,1,0,0,1
NV,15,2,0.5,0.5,0.5,0.5,1,1,1,1
NV,16,5,0.6,0.4,0.4,0.6,3,2,2,3
NV,17,4,0.5,0.5,0.25,0.5,2,2,1,2
NV,18,1,0,1,0,1,0,1,0,1
NV,20,1,1,0,0,1,1,0,0,1
NV,21,2,1,0,0.5,0.5,2,0,1,1
NV,24,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,2,1,2,1
NV,25,1,0,1,1,0,0,1,1,0
NV,26,2,1,0,0.5,0.5,2,0,1,1
NV,27,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1,2,2,1
NV,29,3,0,1,0.6666666666666666,0.3333333333333333,0,3,2,1
NV,30,1,1,0,0,1,1,0,0,1
NV,31,1,1,0,0,1,1,0,0,1
NV,32,3,1,0,0,1,3,0,0,3
NV,33,1,1,0,0,1,1,0,0,1
NV,34,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,2,1,2
NV,35,2,0.5,0.5,1,0,1,1,2,0
NV,36,1,0,1,1,0,0,1,1,0
NV,37,1,1,0,0,1,1,0,0,1
NV,39,1,1,0,0,1,1,0,0,1
NV,40,2,1,0,0.5,0.5,2,0,1,1
NV,41,2,0,1,0.5,0.5,0,2,1,1
NV,42,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,1,1,2
